,country,continent,population,total_deaths,total_cases,total_tests,recovered
183,Argentina,South-America,46010234.0,130841.0,10128845,35716069.0,9997258.0
184,Netherlands,Europe,17211447.0,22992.0,8635786,25984435.0,8612599.0
185,Mexico,North-America,131562772.0,334958.0,7702809,20013810.0,6899865.0
186,Iran,Asia,86022837.0,146811.0,7627186,57320267.0,
187,Indonesia,Asia,279134505.0,162063.0,6829221,114158919.0,6647104.0
188,Poland,Europe,37739785.0,120598.0,6661991,39323709.0,
189,Colombia,South-America,51512762.0,143200.0,6400173,36951507.0,6212152.0
190,Greece,Europe,10316637.0,37869.0,6101379,102228365.0,
191,Austria,Europe,9066710.0,22542.0,6081287,211273524.0,6054934.0
192,Portugal,Europe,10140570.0,28126.0,5643062,46139518.0,5614809.0
193,Chile,South-America,19250195.0,64497.0,5384853,50382097.0,5252450.0
194,Malaysia,Asia,33181072.0,37348.0,5278406,68580916.0,5233268.0
195,Canada,North-America,38388419.0,59034.0,4946090,66572774.0,4881312.0
196,Belgium,Europe,11668278.0,34376.0,4861695,37454182.0,4826798.0
197,Israel,Asia,9326000.0,12707.0,4841772,41373364.0,4798473.0
198,Thailand,Asia,70078203.0,34586.0,4770149,17273454.0,4692636.0
199,Czechia,Europe,10736784.0,43517.0,4759041,57834241.0,4715206.0
200,Peru,South-America,33684208.0,222161.0,4572667,39010194.0,4350506.0
201,Switzerland,Europe,8773637.0,14452.0,4453053,23833472.0,4438309.0
202,Philippines,Asia,112508994.0,66864.0,4140383,36102746.0,4067381.0
203,Romania,Europe,19031335.0,68929.0,3529735,28758667.0,3460149.0
204,Denmark,Europe,5834950.0,8814.0,3183756,129333107.0,3174942.0
205,Singapore,Asia,5943546.0,2024.0,3006155,24756666.0,3004131.0
206,Hong-Kong,Asia,7604299.0,14924.0,2937609,76127725.0,2916005.0
207,Sweden,Europe,10218971.0,27407.0,2754129,19500873.0,2726492.0
208,New-Zealand,Oceania,4898203.0,5697.0,2621111,7768604.0,2613791.0
209,Serbia,Europe,8653016.0,18057.0,2615054,13463733.0,2596608.0
210,Iraq,Asia,42164965.0,25375.0,2465545,19544451.0,2439497.0
211,Hungary,Europe,9606259.0,49048.0,2230232,11394556.0,2152155.0
212,Bangladesh,Asia,167885689.0,29493.0,2049377,15254399.0,
213,Slovakia,Europe,5460193.0,21224.0,1877605,7448789.0,1856381.0
214,Georgia,Asia,3968738.0,17132.0,1861665,16920079.0,
215,Ireland,Europe,5020199.0,9491.0,1734582,13083449.0,1724921.0
216,Pakistan,Asia,229488994.0,30664.0,1581936,30589153.0,1538689.0
217,Finland,Europe,5554960.0,11958.0,1516117,12108977.0,1503989.0
218,Norway,Europe,5511370.0,6638.0,1509732,11002430.0,1503094.0
219,Spain,Europe,46719142.0,121760.0,13914811,471036328.0,13762417.0
220,North-America,North-America,,1695941.0,131889132,,127665129.0
221,Asia,Asia,,1553662.0,221500265,,205673091.0
222,Europe,Europe,,2101824.0,253406198,,248754104.0
223,South-America,South-America,,1367332.0,70200879,,66683585.0
224,Oceania,Oceania,,33015.0,14895771,,14752388.0
225,Africa,Africa,,258892.0,12860924,,12090808.0
226,All,All,,7010681.0,704753890,,675619811.0
227,USA,North-America,334805269.0,1219487.0,111820082,1186851502.0,109814428.0
228,India,Asia,1406631776.0,533570.0,45035393,935879495.0,
229,France,Europe,65584518.0,167642.0,40138560,271490188.0,39970918.0
230,Germany,Europe,83883596.0,183027.0,38828995,122332384.0,38240600.0
231,Brazil,South-America,215353593.0,711380.0,38743918,63776166.0,36249161.0
232,S-Korea,Asia,51329899.0,35934.0,34571873,15804065.0,34535939.0
233,Japan,Asia,125584838.0,74694.0,33803572,100414883.0,
234,Italy,Europe,60262770.0,196487.0,26723249,281126449.0,26361218.0
235,UK,Europe,68497907.0,232112.0,24910387,522526476.0,24678275.0
236,Russia,Europe,145805947.0,402756.0,24124215,273400000.0,23545818.0
237,Turkey,Asia,85561976.0,102174.0,17232066,162743369.0,
